alpha,beta,theta_c,eta1,eta2,f1_fsdt,f2_fsdt,f3_fsdt,f4_fsdt,f5_fsdt,f6_fsdt,f7_fsdt,f8_fsdt,f9_fsdt,f10_fsdt
0.771875,0.842396,43.229698,1.908452,0.072736,1128.468564,2033.439498,2191.347052,2930.019958,3218.699254,3675.203820,3979.209735,4269.968214,4551.335656,5163.970458
0.389190,0.967283,31.815005,2.036762,0.085681,1012.666781,1825.631692,1944.468653,2608.039938,2893.323648,3219.551055,3551.905255,3755.479161,4095.852629,4560.837427
0.527567,0.183900,46.927825,1.658431,0.140867,891.262229,1742.038046,1745.461753,2479.771003,2928.689696,3029.364483,3573.424353,3657.602299,4336.460575,4633.560585
0.152633,0.142031,36.204015,2.333522,0.090779,911.292701,1805.292968,1828.231355,2625.420195,3123.063884,3215.346136,3863.081743,3928.167246,4772.405525,4993.668118
0.739199,0.304284,23.111039,1.007900,0.060426,1032.968957,1953.703334,1977.248172,2751.678018,3208.529761,3296.793547,3885.352132,3941.740028,4668.850169,4846.287904
0.805764,0.857151,62.868335,1.751633,0.087521,1036.445156,1872.421867,2053.461477,2735.311453,2960.984772,3544.217503,3702.590419,4089.330116,4181.098947,4834.164087
0.597384,0.526242,34.685742,2.140475,0.144966,1058.887860,1987.364658,2068.194747,2849.546827,3250.827044,3510.276583,3990.259783,4161.660858,4713.848418,5157.849320
0.518459,0.481950,58.235180,2.465436,0.046542,905.846636,1409.730085,1865.392225,2044.895944,2241.900911,2729.791379,2766.877979,3174.608675,3371.526349,3432.488005
0.560392,0.800740,29.566974,1.487673,0.101894,1092.920786,2039.613966,2085.383565,2874.387982,3317.248342,3453.049561,4020.526420,4105.111501,4789.392759,5043.470211
0.872946,0.887573,51.990731,0.730398,0.031901,1181.585825,2135.098794,2282.100570,3060.713673,3383.880190,3812.307822,4166.651368,4439.862569,4788.216099,5382.968741
0.678751,0.165642,41.798224,1.326354,0.076078,893.880569,1721.643517,1734.678978,2440.876205,2859.419136,2963.354157,3480.082803,3559.111054,4192.201539,4467.629500
0.668540,0.464532,46.160524,1.381510,0.131026,1052.505156,1999.137533,2059.849820,2862.416740,3295.490246,3523.473432,4039.968651,4197.361394,4805.512298,5231.835336
0.331887,0.402545,15.712478,2.734143,0.096315,961.843717,1791.107151,1859.227621,2551.825022,2913.162936,3112.402839,3559.066459,3686.000261,4206.342122,4561.145217
0.256484,0.140200,72.487294,1.807063,0.041015,803.854534,1384.375035,1675.946476,2131.351736,2143.368498,2801.617611,2958.074686,3001.178420,3369.926989,3568.021328
0.625149,0.113070,68.235331,1.425803,0.043141,746.055414,1306.432465,1500.537849,1945.829049,2015.725171,2568.310785,2644.950494,2792.324616,2991.448321,3287.251032
0.642227,0.106302,59.693389,1.104250,0.070854,791.158264,1521.777211,1541.844294,2157.041944,2549.061212,2644.157235,3078.662124,3172.938668,3707.151329,3981.591954
0.306339,0.310133,27.427847,1.199092,0.149003,966.747344,1902.138596,1904.439103,2725.091413,3256.654447,3281.897605,3988.798058,3993.844552,4945.805303,4961.921033
