run,alpha,beta,theta_c,eta1,eta2,lc,tc,h_face,hc,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,solve_time_s,total_time_s
18,0.899568,0.123761,5.501764,1.860094,0.075112,0.003,0.000225336,0.0005021599999999999,0.00899568,1175.3051698803083,2289.888192819777,2296.0511364260815,3262.1138767270395,3880.940738246024,3913.772276732731,4733.870319809915,4740.055677527489,5835.476257642961,5850.8697078481455,108.59774351119995,184.106018781662
19,0.546595,0.565162,28.612125,1.598564,0.064069,0.003,0.000192207,0.0022670249999999998,0.005465950000000001,1091.2105434699715,2027.7572737560215,2038.4766479997097,2816.2637657015575,3286.6913066772495,3318.27413359816,3949.063402045794,3954.209278320454,4758.440073977315,4766.518697879251,83.08019924163818,147.77009868621826
20,0.82244,0.157232,38.178131,2.994107,0.12151,0.003,0.00036453,0.0008878000000000007,0.0082244,1162.4280660645913,2264.564960940262,2274.282138748621,3230.429619123254,3843.045732668973,3878.3138555455303,4689.499115600921,4699.361546259527,5781.451281984673,5806.024492733491,104.07406210899353,169.64821004867554
21,0.562297,0.231153,33.317335,2.763888,0.029533,0.003,8.8599e-05,0.0021885150000000003,0.005622970000000001,996.110825455716,1774.5225106141781,1778.2015606957184,2409.874650390611,2776.037093961138,2798.7028225003687,3298.1824599113584,3300.515722773626,3913.9067516140963,3923.7812039891214,84.66356539726257,148.6666877269745
22,0.616853,0.12147,49.024855,2.167709,0.13168,0.003,0.00039504,0.0019157350000000002,0.00616853,1146.7790490226357,2204.4712981733683,2219.4542621903406,3124.6329908008606,3694.495858465853,3734.2362540615322,4488.363406250447,4501.297283749182,5492.434607613119,5522.527721672597,106.51148533821106,176.13575863838196
23,0.38156,0.128879,69.428308,1.678198,0.129473,0.003,0.00038841900000000004,0.0030922000000000002,0.0038156,1066.296518904144,2054.6618609191805,2069.006134165083,2918.5397340893546,3455.970191113914,3491.046700987606,4204.994763136917,4215.6644630714645,5158.435458246004,5181.576770731585,84.2938380241394,151.45238256454468
24,0.405893,0.244815,32.066809,1.816908,0.041615,0.003,0.000124845,0.0029705350000000003,0.0040589300000000005,985.1973649912316,1803.9466415727609,1809.6402451697522,2485.631240677636,2890.603739531824,2914.092340190896,3462.8814690170693,3463.43665734504,4157.253281476606,4163.117256257629,85.08195972442627,151.05463337898254
25,0.796682,0.553705,51.371198,0.784176,0.089128,0.003,0.000267384,0.0010165900000000004,0.00796682,1199.1333104101577,2300.7880017239786,2312.1299377718906,3251.5252044856425,3841.076611406311,3879.539537852763,4659.655789291152,4669.990787201832,5692.2046139399945,5716.852584686406,104.99788784980774,171.7291920185089
26,0.731969,0.41359,64.889294,1.671225,0.076967,0.003,0.000230901,0.0013401549999999998,0.00731969,1187.8113169719813,2245.725189031309,2258.350068352344,3147.881072691705,3695.418347003739,3734.1972722469814,4461.434150011841,4471.3124570281,5409.101249022615,5431.1275275999305,106.9038724899292,172.88886141777039
27,0.446793,0.265828,71.709939,1.720312,0.103212,0.003,0.000309636,0.0027660349999999996,0.00446793,1081.4704731387853,2059.790223191431,2073.109226962725,2903.5988591238233,3421.5711426866856,3455.6964309324217,4144.548063407751,4153.306302167272,5052.389135684523,5070.151629127076,91.48600435256958,157.20561909675598
28,0.711935,0.905781,47.740134,2.599431,0.039444,0.003,0.000118332,0.0014403250000000003,0.00711935,1131.4985218404324,2058.389525085264,2067.62391299168,2825.184479539499,3270.140170607864,3302.151529217533,3904.8279481154063,3908.8929682923635,4659.440783668751,4665.797181243638,109.94645261764526,178.76583051681519
29,0.786619,0.629933,24.944884,1.840159,0.053657,0.003,0.00016097100000000001,0.0010669050000000002,0.00786619,1204.1020951842781,2251.595137825427,2262.57992168475,3134.5931190895003,3663.02466056149,3701.0402184127515,4406.5644730549875,4414.530317239385,5313.07249696204,5330.295872814007,111.81103157997131,181.0035903453827
30,0.606832,0.319559,54.847171,1.477258,0.094608,0.003,0.000283824,0.00196584,0.00606832,1142.079141709935,2164.3077772261113,2178.160858905055,3040.4873711255864,3573.7713283608127,3611.3614298030784,4319.547595951811,4329.70307648441,5246.865382124123,5268.800159246025,116.09417200088501,187.29563808441162
31,0.881491,0.816528,65.323128,1.785667,0.058762,0.003,0.000176286,0.0005925450000000003,0.00881491,1220.3368272759778,2343.418074508834,2351.1977094432505,3308.7651728602514,3909.9887184366276,3946.4476656724123,4742.703088455792,4749.8445343461935,5794.804950544352,5811.867049216344,111.10733795166016,180.61585545539856
32,0.610693,0.241077,33.825397,1.234698,0.024863,0.003,7.4589e-05,0.0019465349999999992,0.006106930000000001,990.0291617469433,1744.745232854068,1748.5750155675198,2357.820002835833,2707.268757283363,2729.033337412018,3207.7161626245083,3209.207838969945,3792.885516328898,3799.938956687353,111.55515503883362,177.64736652374268
33,0.455625,0.387857,73.778726,1.767776,0.057104,0.003,0.00017131200000000002,0.002721875,0.00455625,1040.3903712750814,1928.0718079711205,1936.8967680341023,2673.8934090531225,3119.6514526757874,3147.4464876074503,3747.299046445735,3749.926956370871,4516.490447574037,4518.5119415939835,83.95552015304565,147.9352035522461
34,0.72703,0.109914,67.579848,1.889159,0.08413,0.003,0.00025239,0.0013648500000000001,0.0072702999999999995,1186.2459654732575,2251.132120512617,2264.0296502550486,3162.591755825558,3718.461443674423,3757.521345584013,4494.849618383497,4505.280623303628,5459.95061900901,5483.547110030273,105.28216123580933,170.80988359451294
35,0.638555,0.212416,22.177736,2.201921,0.083936,0.003,0.000251808,0.001807225,0.00638555,1151.28644926514,2171.672232141974,2185.0024948141127,3041.893034611911,3568.50280038877,3605.8953759881642,4306.203161038174,4315.695414441956,5217.985063286124,5238.214117199833,105.24886631965637,170.14682698249817
36,0.723217,0.254472,23.726122,1.700369,0.064662,0.003,0.000193986,0.0013839150000000003,0.0072321700000000004,1179.5982109179606,2208.8146495265873,2220.923704176609,3079.154043079398,3600.8887179347753,3638.489424530462,4334.324431408691,4342.831793414848,5231.37004425204,5249.4221968019365,105.07146620750427,169.99164056777954
37,0.43217,0.159481,74.805175,1.924547,0.0657,0.003,0.0001971,0.00283915,0.0043217,1045.0555308878734,1952.6905520115802,1962.486308784928,2720.7314658098876,3183.7456745900636,3212.5413947176335,3833.4362575232235,3837.2905342870454,4635.818841184197,4640.666027705398,83.93725943565369,147.60535502433777
38,0.887155,0.433703,71.113896,1.776305,0.070373,0.003,0.000211119,0.0005642249999999999,0.00887155,1197.1701087898018,2318.9735042344605,2326.135772248854,3291.8747269717833,3905.6494397995234,3940.34601011475,4752.957632339622,4759.9137892153,5837.592636195089,5854.649071393547,106.3057267665863,171.78561782836914
39,0.773513,0.189613,50.242859,1.533333,0.072494,0.003,0.00021748200000000002,0.0011324349999999998,0.007735130000000001,1202.4295068718998,2278.272545347716,2290.1435290479612,3196.229995291371,3755.271648130744,3794.2000159504046,4536.23037992949,4545.926059812324,5504.568088283414,5526.617490358433,105.92766499519348,170.86712169647217
40,0.782931,0.260713,50.381603,1.629208,0.059664,0.003,0.000178992,0.0010853449999999995,0.00782931,1205.1173433527686,2264.6714945025105,2275.9749022836886,3161.699579535657,3702.062627840891,3740.479651578415,4460.180889599661,4468.769035536521,5390.234044056797,5409.143039664982,119.91810536384583,209.79471468925476
41,0.415623,0.191183,63.417926,1.05498,0.116711,0.003,0.000350133,0.0029218850000000004,0.00415623,1074.9375248641124,2060.007559179747,2073.9279139316964,2915.530117546611,3444.3900099641205,3479.12910111076,4181.829410530268,4191.666764901825,5114.432963125031,5135.169226386592,84.14559960365295,153.31039690971375
42,0.353936,0.872573,66.374933,2.43,0.051164,0.003,0.000153492,0.0032303200000000005,0.0035393599999999996,993.9827763955424,1847.8743924324951,1855.162010680208,2567.4395974743557,3001.195270789695,3026.116177807945,3611.024972232783,3612.0773409358835,4363.34431842096,4365.298880518703,83.54845333099365,150.81660866737366
