run,alpha,beta,theta_c,eta1,eta2,lc,tc,h_face,hc,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,solve_time_s,total_time_s
89,0.805764,0.857151,62.868335,1.751633,0.087521,0.003,0.000262563,0.0009711799999999998,0.008057640000000001,1200.5338939604435,2304.956503220929,2315.972936319681,3258.2870399985864,3850.167588627958,3888.390995340448,4671.580599811666,4681.67541088776,5708.691206853637,5732.837431625331,107.66072511672974,173.8150613307953
90,0.597384,0.526242,34.685742,2.140475,0.144966,0.003,0.000434898,0.0020130800000000004,0.00597384,1138.3432921448039,2193.8386050953127,2208.954955234801,3114.9539361565517,3687.1964519097046,3726.7774762259596,4484.206240479559,4497.379170870807,5495.657512928269,5526.405219351389,86.28971028327942,151.77654361724854
91,0.518459,0.48195,58.23518,2.465436,0.046542,0.003,0.000139626,0.0024077049999999996,0.00518459,1043.2967077927276,1907.6540738586918,1915.3305196504255,2626.0183936870767,3049.032571473669,3075.886562612917,3648.150374887214,3649.6066203795153,4371.789754209748,4372.5877054938255,85.04841017723083,150.16756129264832
92,0.560392,0.80074,29.566974,1.487673,0.101894,0.003,0.000305682,0.0021980399999999996,0.00560392,1125.2786223711043,2137.3885082858183,2151.2677414182244,3007.2777743663123,3538.5180477162166,3575.2746400882256,4280.803956238136,4290.724767454717,5207.280030407922,5228.380573086504,84.92505192756653,150.25142645835876
93,0.872946,0.887573,51.990731,0.730398,0.031901,0.003,9.5703e-05,0.0006352700000000003,0.00872946,1234.6167636367,2293.5767875122506,2301.5436613962484,3177.9382834849257,3703.0623140275766,3740.6319668992783,4445.417313721167,4450.981647035364,5341.436045857916,5353.303169160651,107.690021276474,174.64225935935974
94,0.678751,0.165642,41.798224,1.326354,0.076078,0.003,0.00022823400000000004,0.0016062449999999999,0.00678751,1165.2638430041711,2192.074901971099,2204.9650912695415,3064.8830517267165,3591.1852973269242,3628.829133999157,4329.335766170002,4338.537115560052,5237.963388754377,5257.613598124621,108.35263061523438,175.94493317604065
95,0.66854,0.464532,46.160524,1.38151,0.131026,0.003,0.000393078,0.0016573,0.0066854,1159.8732303125191,2233.6325114115825,2248.043679971045,3168.402838376909,3749.0526009963028,3788.9114531650184,4556.913660639184,4569.874954116579,5580.87064575446,5611.554769750241,107.66991233825684,173.9119930267334
96,0.331887,0.402545,15.712478,2.734143,0.096315,0.003,0.000288945,0.003340565,0.00331887,1037.4772391399085,1984.9762595719928,1997.1828799992077,2806.060629895789,3314.107918864171,3345.2600205817535,4022.2405885413464,4029.6258359059993,4918.793187946962,4932.952402381281,84.91793394088745,151.26367020606995
97,0.256484,0.1402,72.487294,1.807063,0.041015,0.003,0.000123045,0.0037175799999999994,0.00256484,949.8015111364892,1772.1483733669709,1777.7730107339137,2467.7670230448653,2890.833777599401,2913.3721194838877,3485.277924048671,3485.820555167271,4223.029360974441,4228.913815368272,85.31697010993958,150.4034662246704
98,0.625149,0.11307,68.235331,1.425803,0.043141,0.003,0.000129423,0.0018742550000000005,0.006251489999999999,1087.7158839490705,1979.00759575343,1987.6790608822741,2716.996478109539,3147.006114249724,3176.4144346781836,3758.685453967346,3761.5856529057464,4489.986666687069,4493.101516607646,106.81760883331299,174.07716298103333
99,0.642227,0.106302,59.693389,1.10425,0.070854,0.003,0.00021256200000000002,0.0017888650000000006,0.00642227,1144.7645285244944,2141.572993491547,2154.011327033022,2985.190227502534,3490.751406510223,3526.6990065213313,4201.424198346148,4209.395825601062,5071.7956793714575,5087.892995132135,107.35684633255005,173.61387538909912
100,0.306339,0.310133,27.427847,1.199092,0.149003,0.003,0.000447009,0.0034683050000000005,0.0030633899999999996,1045.1241618453957,2032.497039339387,2047.2147431878907,2905.2115311775615,3454.0220218188206,3489.107387796391,4219.14743299291,4230.89141438874,5204.0603413614135,5230.44714112294,83.02887535095215,150.9864022731781
